iter	Passed	Remaining
805	3982	958
806	3984	952
807	3986	947
808	3998	944
809	4002	938
810	4010	934
811	4014	929
812	4016	923
813	4019	918
814	4027	914
815	4030	908
816	4032	903
817	4043	899
818	4045	894
819	4060	891
820	4062	885
821	4064	880
822	4072	875
823	4075	870
824	4078	865
825	4080	859
826	4082	853
827	4084	848
828	4086	842
829	4090	837
830	4092	832
831	4094	826
832	4096	821
833	4098	815
834	4101	810
835	4105	805
836	4111	800
837	4113	795
838	4116	789
839	4120	784
840	4123	779
841	4126	774
842	4128	768
843	4130	763
844	4134	758
845	4138	753
846	4142	748
847	4146	743
848	4157	739
849	4159	734
850	4162	728
851	4170	724
852	4174	719
853	4176	714
854	4178	708
855	4189	704
856	4194	699
857	4205	695
858	4207	690
859	4210	685
860	4218	680
861	4221	675
862	4223	670
863	4226	665
864	4237	661
865	4240	656
866	4249	651
867	4253	646
868	4256	641
869	4262	636
870	4266	631
871	4269	626
872	4271	621
873	4319	622
874	4322	617
875	4326	612
876	4329	607
877	4331	601
878	4345	598
879	4358	594
880	4361	589
881	4380	586
882	4383	580
883	4385	575
884	4388	570
885	4393	565
886	4396	560
887	4400	554
888	4403	549
889	4410	545
890	4437	542
891	4441	537
892	4444	532
893	4447	527
894	4450	522
895	4454	516
896	4458	511
897	4461	506
898	4464	501
899	4468	496
900	4473	491
901	4479	486
902	4487	482
903	4491	476
904	4494	471
905	4497	466
906	4501	461
907	4503	456
908	4506	451
909	4508	445
910	4510	440
911	4516	435
912	4524	431
913	4527	426
914	4532	421
915	4535	415
916	4538	410
917	4543	405
918	4548	400
919	4551	395
920	4559	391
921	4563	386
922	4566	380
923	4570	375
924	4579	371
925	4582	366
926	4592	361
927	4595	356
928	4597	351
929	4608	346
930	4612	341
931	4623	337
932	4626	332
933	4628	327
934	4633	322
935	4638	317
936	4642	312
937	4645	307
938	4656	302
939	4660	297
940	4665	292
941	4671	287
942	4674	282
943	4678	277
944	4685	272
945	4688	267
946	4690	262
947	4705	258
948	4707	252
949	4720	248
950	4727	243
951	4731	238
952	4733	233
953	4735	228
954	4738	223
955	4742	218
956	4745	213
957	4747	208
958	4749	203
959	4752	198
960	4755	193
961	4758	187
962	4760	182
963	4763	177
964	4765	172
965	4767	167
966	4776	163
967	4778	157
968	4781	152
969	4784	147
970	4787	142
971	4789	137
972	4792	132
973	4794	127
974	4796	122
975	4802	118
976	4805	113
977	4807	108
978	4810	103
979	4813	98
980	4816	93
981	4819	88
982	4821	83
983	4823	78
984	4826	73
985	4829	68
986	4832	63
987	4835	58
988	4837	53
989	4840	48
990	4842	43
991	4846	39
992	4848	34
993	4851	29
994	4854	24
995	4857	19
996	4860	14
997	4862	9
998	4865	4
999	4867	0
